architecture,energy_per_encoded_bit,energy_per_operation,experiment_id,frequency_hz,functional_failure_reasons,functional_pass,input_pattern,level,load_ff,model,output_swing,pavg,pdp,raw_log,simulation_file,status,temp,temperature_c,tfall,tnom,tpd,tphl,tplh,transistor_count,trise,validation_errors,vdd,voh,vol
GDI,,,EXP-XOR-GDI-VDD06,125000000.0,"[""VOH_below_0.8VDD"", ""VOL_above_0.2VDD""]",False,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,0.06234776973799999,4.25136520994e-08,4.099617047191059e-17,ltspice/xor/gdi/EXP-XOR-GDI-VDD06.log,ltspice/xor/gdi/EXP-XOR-GDI-VDD06.cir,Validated,27.0,27.0,,27.0,9.643060157725e-10,9.66795163678e-10,9.61816867867e-10,4,,[],0.6,0.331212550402,0.268864780664
GDI,,,EXP-XOR-GDI-VDD08,125000000.0,"[""VOH_below_0.8VDD"", ""VOL_above_0.2VDD""]",False,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,0.190192133188,1.8661467699e-07,5.881037323908494e-17,ltspice/xor/gdi/EXP-XOR-GDI-VDD08.log,ltspice/xor/gdi/EXP-XOR-GDI-VDD08.cir,Validated,27.0,27.0,,27.0,3.151433434265e-10,3.11767601241e-10,3.18519085612e-10,4,,[],0.8,0.493359863758,0.30316773057
GDI,,,EXP-XOR-GDI-VDD10,125000000.0,"[""VOH_below_0.8VDD"", ""VOL_above_0.2VDD""]",False,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,0.33587533235500006,4.19797711172e-07,5.439680991306922e-17,ltspice/xor/gdi/EXP-XOR-GDI-VDD10.log,ltspice/xor/gdi/EXP-XOR-GDI-VDD10.cir,Validated,27.0,27.0,,27.0,1.29578624336e-10,1.33374429347e-10,1.25782819325e-10,4,,[],1.0,0.664207458496,0.328332126141
GDI,,,EXP-XOR-GDI-TM20,125000000.0,"[""VOH_below_0.8VDD"", ""VOL_above_0.2VDD""]",False,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,0.470123648644,7.0494875361e-07,4.622876109999462e-17,ltspice/xor/gdi/EXP-XOR-GDI-TM20.log,ltspice/xor/gdi/EXP-XOR-GDI-TM20.cir,Validated,-20.0,-20.0,,27.0,6.557747760139999e-11,6.21340986556e-11,6.90208565472e-11,4,,[],1.2,0.827866137028,0.357742488384
GDI,,,EXP-XOR-GDI-T85,125000000.0,"[""VOH_below_0.8VDD"", ""VOL_above_0.2VDD""]",False,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,0.50403174758,7.83860722701e-07,8.657225322035636e-17,ltspice/xor/gdi/EXP-XOR-GDI-T85.log,ltspice/xor/gdi/EXP-XOR-GDI-T85.cir,Validated,85.0,85.0,,27.0,1.1044341260275001e-10,1.22126668051e-10,9.87601571545e-11,4,,[],1.2,0.848956227303,0.344924479723
GDI,,,EXP-XOR-GDI-L01,125000000.0,"[""VOH_below_0.8VDD"", ""VOL_above_0.2VDD""]",False,two-input exhaustive periodic,XOR,1.0,PTM-65nm-beta-2006,0.620227098465,1.07439229106e-07,1.6244876912198351e-18,ltspice/xor/gdi/EXP-XOR-GDI-L01.log,ltspice/xor/gdi/EXP-XOR-GDI-L01.cir,Validated,27.0,27.0,,27.0,1.512006093805e-11,1.53382204282e-11,1.49019014479e-11,4,,[],1.2,0.903136372566,0.282909274101
GDI,,,EXP-XOR-GDI-L05,125000000.0,"[""VOH_below_0.8VDD"", ""VOL_above_0.2VDD""]",False,two-input exhaustive periodic,XOR,5.0,PTM-65nm-beta-2006,0.531098634004,4.08667764737e-07,1.9033898294294778e-17,ltspice/xor/gdi/EXP-XOR-GDI-L05.log,ltspice/xor/gdi/EXP-XOR-GDI-L05.cir,Validated,27.0,27.0,,27.0,4.65754824253e-11,4.81469688656e-11,4.5003995985e-11,4,,[],1.2,0.859266042709,0.328167408705
GDI,,,EXP-XOR-GDI-L20,125000000.0,"[""VOH_below_0.8VDD"", ""VOL_above_0.2VDD""]",False,two-input exhaustive periodic,XOR,20.0,PTM-65nm-beta-2006,0.434820830822,1.31043868454e-06,1.9896164608019503e-16,ltspice/xor/gdi/EXP-XOR-GDI-L20.log,ltspice/xor/gdi/EXP-XOR-GDI-L20.cir,Validated,27.0,27.0,,27.0,1.5182827584950001e-10,1.57549927538e-10,1.46106624161e-10,4,,[],1.2,0.812153637409,0.377332806587
GDI,,,EXP-XOR-GDI-F025,25000000.0,"[""VOH_below_0.8VDD"", ""VOL_above_0.2VDD""]",False,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,0.59213629365,1.90502064922e-07,1.7471410260350608e-17,ltspice/xor/gdi/EXP-XOR-GDI-F025.log,ltspice/xor/gdi/EXP-XOR-GDI-F025.cir,Validated,27.0,27.0,,27.0,9.171244557115e-11,9.50162109039e-11,8.84086802384e-11,4,,[],1.2,0.889032185078,0.296895891428
GDI,,,EXP-XOR-GDI-F200,200000000.0,"[""VOH_below_0.8VDD"", ""VOL_above_0.2VDD""]",False,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,0.450634300709,1.08462399057e-06,8.700674189116702e-17,ltspice/xor/gdi/EXP-XOR-GDI-F200.log,ltspice/xor/gdi/EXP-XOR-GDI-F200.cir,Validated,27.0,27.0,,27.0,8.021834538754999e-11,8.31210338021e-11,7.7315656973e-11,4,,[],1.2,0.820005834103,0.369371533394
FSGDI,,,EXP-XOR-FSGDI-NOM,125000000.0,[],True,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,1.199922849600501,2.43832158228e-07,6.62529999836561e-18,ltspice/xor/fsgdi/EXP-XOR-FSGDI-NOM.log,ltspice/xor/fsgdi/EXP-XOR-FSGDI-NOM.cir,Validated,27.0,27.0,7.31428854458e-11,27.0,2.7171559512549997e-11,2.5950230691e-11,2.83928883341e-11,6,9.77730027024e-11,[],1.2,1.19994497299,2.2123389499e-05
FSGDI,,,EXP-XOR-FSGDI-VDD06,125000000.0,[],True,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,0.59998147330627,3.72859953227e-08,3.3023664950013028e-18,ltspice/xor/fsgdi/EXP-XOR-FSGDI-VDD06.log,ltspice/xor/fsgdi/EXP-XOR-FSGDI-VDD06.cir,Validated,27.0,27.0,1.78608888422e-10,27.0,8.85685487653e-11,7.76532618752e-11,9.94838356554e-11,6,2.85165343254e-10,[],0.6,0.599986732006,5.25869972989e-06
FSGDI,,,EXP-XOR-FSGDI-VDD08,125000000.0,[],True,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,0.7999753720580953,8.20018725225e-08,3.8714136794033514e-18,ltspice/xor/fsgdi/EXP-XOR-FSGDI-VDD08.log,ltspice/xor/fsgdi/EXP-XOR-FSGDI-VDD08.cir,Validated,27.0,27.0,1.05297582862e-10,27.0,4.721128384405e-11,4.32098163829e-11,5.12127513052e-11,6,1.58851231739e-10,[],0.8,0.799982428551,7.05649290467e-06
FSGDI,,,EXP-XOR-FSGDI-VDD10,125000000.0,[],True,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,0.9999584256473004,1.49642284822e-07,5.03736918469653e-18,ltspice/xor/fsgdi/EXP-XOR-FSGDI-VDD10.log,ltspice/xor/fsgdi/EXP-XOR-FSGDI-VDD10.cir,Validated,27.0,27.0,8.35216503608e-11,27.0,3.366273904925e-11,3.16812378693e-11,3.56442402292e-11,6,1.17746193696e-10,[],1.0,0.999970436096,1.20104486996e-05
